Italy,7.0,2016,0.03482587064676617
South Africa,4.0,2016,0.01990049751243781
Japan,13.0,2016,0.06467661691542288
United States,70.0,2016,0.3482587064676617
Belgium,2.0,2016,0.009950248756218905
Australia,20.0,2016,0.09950248756218906
Sweden,6.0,2016,0.029850746268656716
Netherlands,6.0,2016,0.029850746268656716
Great Britain,13.0,2016,0.06467661691542288
China,10.0,2016,0.04975124378109453
France,5.0,2016,0.024875621890547265
Denmark,4.0,2016,0.01990049751243781
Canada,8.0,2016,0.03980099502487562
Belarus,1.0,2016,0.004975124378109453
Russia,6.0,2016,0.029850746268656716
Greece,2.0,2016,0.009950248756218905
Brazil,1.0,2016,0.004975124378109453
Spain,4.0,2016,0.01990049751243781
Singapore,3.0,2016,0.014925373134328358
Kazakhstan,3.0,2016,0.014925373134328358
Hungary,13.0,2016,0.06467661691542288
South Korea,4.0,2012,0.019801980198019802
Italy,1.0,2012,0.0049504950495049506
South Africa,6.0,2012,0.0297029702970297
Japan,14.0,2012,0.06930693069306931
United States,72.0,2012,0.3564356435643564
Australia,18.0,2012,0.0891089108910891
Lithuania,3.0,2012,0.01485148514851485
Germany,2.0,2012,0.009900990099009901
Netherlands,9.0,2012,0.04455445544554455
Tunisia,4.0,2012,0.019801980198019802
Great Britain,4.0,2012,0.019801980198019802
China,20.0,2012,0.09900990099009901
France,17.0,2012,0.08415841584158416
Canada,4.0,2012,0.019801980198019802
Belarus,4.0,2012,0.019801980198019802
Russia,6.0,2012,0.0297029702970297
Brazil,3.0,2012,0.01485148514851485
Spain,4.0,2012,0.019801980198019802
Hungary,7.0,2012,0.034653465346534656
South Korea,5.0,2008,0.024509803921568627
Italy,5.0,2008,0.024509803921568627
Japan,9.0,2008,0.04411764705882353
United States,64.0,2008,0.3137254901960784
Austria,1.0,2008,0.004901960784313725
Serbia,2.0,2008,0.00980392156862745
Australia,37.0,2008,0.18137254901960784
Germany,7.0,2008,0.03431372549019608
Netherlands,6.0,2008,0.029411764705882353
Zimbabwe,9.0,2008,0.04411764705882353
Tunisia,3.0,2008,0.014705882352941176
Great Britain,12.0,2008,0.058823529411764705
China,11.0,2008,0.05392156862745098
France,10.0,2008,0.049019607843137254
Denmark,1.0,2008,0.004901960784313725
Canada,1.0,2008,0.004901960784313725
Russia,7.0,2008,0.03431372549019608
Brazil,3.0,2008,0.014705882352941176
Slovenia,2.0,2008,0.00980392156862745
Norway,3.0,2008,0.014705882352941176
Hungary,6.0,2008,0.029411764705882353
Italy,3.0,2004,0.015625
South Africa,6.0,2004,0.03125
Japan,14.0,2004,0.07291666666666667
Ukraine,7.0,2004,0.036458333333333336
United States,61.0,2004,0.3177083333333333
Austria,4.0,2004,0.020833333333333332
Australia,34.0,2004,0.17708333333333334
Germany,6.0,2004,0.03125
Poland,7.0,2004,0.036458333333333336
Netherlands,14.0,2004,0.07291666666666667
Zimbabwe,6.0,2004,0.03125
Romania,4.0,2004,0.020833333333333332
China,5.0,2004,0.026041666666666668
Great Britain,2.0,2004,0.010416666666666666
France,10.0,2004,0.052083333333333336
Croatia,2.0,2004,0.010416666666666666
Argentina,1.0,2004,0.005208333333333333
Russia,2.0,2004,0.010416666666666666
Trinidad and Tobago,1.0,2004,0.005208333333333333
Hungary,3.0,2004,0.015625
France,2.0,2000,0.010526315789473684
Australia,37.0,2000,0.19473684210526315
Italy,13.0,2000,0.06842105263157895
South Africa,3.0,2000,0.015789473684210527
Germany,3.0,2000,0.015789473684210527
Sweden,8.0,2000,0.042105263157894736
Netherlands,19.0,2000,0.1
Hungary,3.0,2000,0.015789473684210527
Canada,1.0,2000,0.005263157894736842
Slovakia,4.0,2000,0.021052631578947368
Ukraine,10.0,2000,0.05263157894736842
Brazil,1.0,2000,0.005263157894736842
Japan,6.0,2000,0.031578947368421054
United States,65.0,2000,0.34210526315789475
Romania,9.0,2000,0.04736842105263158
Spain,1.0,2000,0.005263157894736842
Russia,3.0,2000,0.015789473684210527
Costa Rica,2.0,2000,0.010526315789473684
Italy,1.0,1996,0.005208333333333333
South Africa,7.0,1996,0.036458333333333336
Finland,2.0,1996,0.010416666666666666
United States,63.0,1996,0.328125
Belgium,3.0,1996,0.015625
Costa Rica,3.0,1996,0.015625
Australia,20.0,1996,0.10416666666666667
Germany,17.0,1996,0.08854166666666667
Sweden,2.0,1996,0.010416666666666666
Netherlands,2.0,1996,0.010416666666666666
Cuba,3.0,1996,0.015625
Great Britain,3.0,1996,0.015625
China,11.0,1996,0.057291666666666664
Canada,4.0,1996,0.020833333333333332
Ireland,10.0,1996,0.052083333333333336
Russia,18.0,1996,0.09375
New Zealand,6.0,1996,0.03125
Brazil,4.0,1996,0.020833333333333332
Hungary,13.0,1996,0.06770833333333333
Unified Team,25.0,1992,0.13440860215053763
France,3.0,1992,0.016129032258064516
Australia,14.0,1992,0.07526881720430108
Italy,2.0,1992,0.010752688172043012
Finland,1.0,1992,0.005376344086021506
Sweden,5.0,1992,0.026881720430107527
Germany,16.0,1992,0.08602150537634409
Poland,2.0,1992,0.010752688172043012
New Zealand,2.0,1992,0.010752688172043012
Canada,4.0,1992,0.021505376344086023
Japan,3.0,1992,0.016129032258064516
Brazil,2.0,1992,0.010752688172043012
Suriname,1.0,1992,0.005376344086021506
United States,58.0,1992,0.3118279569892473
China,22.0,1992,0.11827956989247312
Spain,3.0,1992,0.016129032258064516
Great Britain,1.0,1992,0.005376344086021506
Hungary,22.0,1992,0.11827956989247312
Italy,1.0,1988,0.005376344086021506
Japan,3.0,1988,0.016129032258064516
