South Africa,10.0,2016,0.03546099290780142
Qatar,2.0,2016,0.0070921985815602835
Jamaica,26.0,2016,0.09219858156028368
Japan,3.0,2016,0.010638297872340425
Ukraine,1.0,2016,0.0035460992907801418
Ethiopia,12.0,2016,0.0425531914893617
United States,68.0,2016,0.24113475177304963
Belgium,3.0,2016,0.010638297872340425
Colombia,3.0,2016,0.010638297872340425
Australia,3.0,2016,0.010638297872340425
Czech Republic,1.0,2016,0.0035460992907801418
Germany,7.0,2016,0.024822695035460994
Poland,6.0,2016,0.02127659574468085
Netherlands,2.0,2016,0.0070921985815602835
Bahrain,5.0,2016,0.01773049645390071
Bulgaria,2.0,2016,0.0070921985815602835
Cuba,1.0,2016,0.0035460992907801418
China,12.0,2016,0.0425531914893617
Great Britain,12.0,2016,0.0425531914893617
France,9.0,2016,0.031914893617021274
Algeria,4.0,2016,0.014184397163120567
Denmark,2.0,2016,0.0070921985815602835
Croatia,7.0,2016,0.024822695035460994
Grenada,2.0,2016,0.0070921985815602835
Kenya,31.0,2016,0.1099290780141844
Canada,9.0,2016,0.031914893617021274
Belarus,2.0,2016,0.0070921985815602835
Burundi,2.0,2016,0.0070921985815602835
Venezuela,2.0,2016,0.0070921985815602835
Tajikistan,3.0,2016,0.010638297872340425
Turkey,1.0,2016,0.0035460992907801418
New Zealand,5.0,2016,0.01773049645390071
Hungary,1.0,2016,0.0035460992907801418
Bahamas,4.0,2016,0.014184397163120567
Mexico,2.0,2016,0.0070921985815602835
Slovakia,3.0,2016,0.010638297872340425
Greece,3.0,2016,0.010638297872340425
Brazil,3.0,2016,0.010638297872340425
Trinidad and Tobago,1.0,2016,0.0035460992907801418
Spain,5.0,2016,0.01773049645390071
Kazakhstan,1.0,2016,0.0035460992907801418
Serbia,1.0,2016,0.0035460992907801418
Italy,1.0,2012,0.0035460992907801418
South Africa,2.0,2012,0.0070921985815602835
Finland,1.0,2012,0.0035460992907801418
Botswana,2.0,2012,0.0070921985815602835
Dominican Republic,5.0,2012,0.01773049645390071
Jamaica,24.0,2012,0.0851063829787234
Japan,1.0,2012,0.0035460992907801418
Ukraine,4.0,2012,0.014184397163120567
Morocco,1.0,2012,0.0035460992907801418
Ethiopia,14.0,2012,0.04964539007092199
Puerto Rico,1.0,2012,0.0035460992907801418
United States,58.0,2012,0.20567375886524822
Colombia,2.0,2012,0.0070921985815602835
Australia,7.0,2012,0.024822695035460994
Czech Republic,4.0,2012,0.014184397163120567
Germany,14.0,2012,0.04964539007092199
Poland,5.0,2012,0.01773049645390071
Estonia,1.0,2012,0.0035460992907801418
Bahrain,1.0,2012,0.0035460992907801418
Cuba,3.0,2012,0.010638297872340425
Iran,2.0,2012,0.0070921985815602835
Tunisia,2.0,2012,0.0070921985815602835
China,8.0,2012,0.028368794326241134
Great Britain,14.0,2012,0.04964539007092199
France,6.0,2012,0.02127659574468085
Algeria,3.0,2012,0.010638297872340425
Croatia,3.0,2012,0.010638297872340425
Grenada,3.0,2012,0.010638297872340425
Kenya,19.0,2012,0.0673758865248227
Canada,1.0,2012,0.0035460992907801418
Russia,39.0,2012,0.13829787234042554
Uganda,3.0,2012,0.010638297872340425
Turkey,5.0,2012,0.01773049645390071
New Zealand,3.0,2012,0.010638297872340425
Guatemala,2.0,2012,0.0070921985815602835
Bahamas,3.0,2012,0.010638297872340425
Trinidad and Tobago,7.0,2012,0.024822695035460994
Slovenia,2.0,2012,0.0070921985815602835
Kazakhstan,3.0,2012,0.010638297872340425
Hungary,3.0,2012,0.010638297872340425
Italy,4.0,2008,0.014234875444839857
South Africa,2.0,2008,0.0071174377224199285
Finland,1.0,2008,0.0035587188612099642
Jamaica,24.0,2008,0.08540925266903915
Japan,1.0,2008,0.0035587188612099642
Ukraine,8.0,2008,0.028469750889679714
Ethiopia,16.0,2008,0.05693950177935943
Morocco,3.0,2008,0.010676156583629894
Nigeria,2.0,2008,0.0071174377224199285
United States,47.0,2008,0.16725978647686832
Belgium,5.0,2008,0.017793594306049824
Australia,8.0,2008,0.028469750889679714
Portugal,3.0,2008,0.010676156583629894
Lithuania,1.0,2008,0.0035587188612099642
Czech Republic,3.0,2008,0.010676156583629894
Germany,1.0,2008,0.0035587188612099642
Poland,5.0,2008,0.017793594306049824
Estonia,3.0,2008,0.010676156583629894
Ecuador,2.0,2008,0.0071174377224199285
Latvia,2.0,2008,0.0071174377224199285
Cuba,9.0,2008,0.03202846975088968
Romania,3.0,2008,0.010676156583629894
Sudan,2.0,2008,0.0071174377224199285
Great Britain,8.0,2008,0.028469750889679714
China,2.0,2008,0.0071174377224199285
France,3.0,2008,0.010676156583629894
Croatia,2.0,2008,0.0071174377224199285
Kenya,31.0,2008,0.1103202846975089
Canada,2.0,2008,0.0071174377224199285
Belarus,11.0,2008,0.03914590747330961
Russia,35.0,2008,0.12455516014234876
Turkey,2.0,2008,0.0071174377224199285
New Zealand,5.0,2008,0.017793594306049824
Bahamas,3.0,2008,0.010676156583629894
Greece,1.0,2008,0.0035587188612099642
Brazil,3.0,2008,0.010676156583629894
Trinidad and Tobago,4.0,2008,0.014234875444839857
Cameroon,3.0,2008,0.010676156583629894
Slovenia,3.0,2008,0.010676156583629894
Norway,5.0,2008,0.017793594306049824
Panama,3.0,2008,0.010676156583629894
Italy,7.0,2004,0.02564102564102564
South Africa,4.0,2004,0.014652014652014652
Dominican Republic,3.0,2004,0.01098901098901099
Jamaica,10.0,2004,0.03663003663003663
Japan,6.0,2004,0.02197802197802198
Ukraine,4.0,2004,0.014652014652014652
